ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,time
1,What is the capital of India,Mumbai,Chennai,New Delhi,Kolkata,3,5,-1,n,20
2,4+4 =,4,7,9,8,4,4,-1,y,
3,Capital of France,Paris,Patna,Amhara,London,1,8,-2,n,
4,Which of these is a library used for GUI development in pythin,Tkinter,Pandas,Numpy,Librosa,1,4,-1,y,
5,Who is the writer of the famous book 'No longer human,J.K. Rowling,Chetan Bhagat,Osamu Dazai,Merit Mckiney,3,8,-2,y,
6,Which of these is a big 3 anime,Black Clover,The Promised Neverland,Bleach,Tokyo Ghoul,3,6,-2,y,
7,Dattebayo' is a famous phrase used by which anime character,Naruto Uzumaki,Izuku Midoria,Ken Kaneki,Norman,1,4,-1,n,
8,Which of the following is a famous 9 book series on time travel,The song of ice and fire,Time Riders,The time Machine,The Children of blood and bone,2,6,-2,n,
9,World's Second largest wall is in which country,India,China,Japan,USA,1,8,-2,y,
10,Which country has the highest citizen happiness index in the world,Bhutan,Bangladesh,Germany,India,1,4,-1,n,
